seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,element,LocalLabel,LocalDocumentation,
1,1,Class,,Phone,,,,0..*,Phone number information.,gl-bus,,【電話番号】,主要電話番号情報。,
2,2,Attribute,,Phone,Description,xbrli:tokenItemType,,0..1,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",gl-bus,,電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",
3,2,Attribute,,Phone,Number,xbrli:stringItemType,,0..1,Phone number referred to in Phone Number Description'\.,gl-bus,,電話番号,電話番号用途で示される電話番号。,
4,1,Class,,Fax,,,,0..*,Fax number information.,gl-bus,,【FAX番号】,FAX番号情報。,
5,2,Attribute,,Fax,Usage,xbrli:stringItemType,,0..1,"Fax number usage (e.g. orders, head office, IR)",gl-bus,,FAX番号用途,FAX番号の用途。(注文、本社、IRなど),
6,2,Attribute,,Fax,Number,xbrli:stringItemType,,0..1,Fax Number,gl-bus,,FAX番号,FAX番号。,
7,1,Abstract Class,,URI,,,,0..*,URI address information.,gl-bus,,【URI】,URIアドレス情報。,
8,2,Attribute,,URI,Descrption,xbrli:stringItemType,,0..1,"URI address usage (e.g. orders, head office, IR)",gl-bus,,URIアドレス用途,URIアドレスの用途。(注文、本社、IRなど),
9,2,Attribute,,URI,Address,xbrli:stringItemType,,0..1,URI Address,gl-bus,,URIアドレス,URIアドレス。,
10,1,Class,,Email,,,,0..*,Email address information.,gl-bus,,【Eメールアドレス】,Eメールアドレス情報。,
11,2,Specialization,,Email,,,URI,1,,gl-bus,,,,
12,1,Class,,Web Site,,,,0..*,Web site information.,gl-bus,,【Webサイト】,ウェブサイト情報。,
13,2,Specialization,,Web Site,,,URI,1,,gl-bus,,,,
14,1,Abstract Class,,Activity,,,,0..*,Activity in assounting or ERP system.,gl-cor,,【活動】,会計システムまたはERPシステムにおける活動,
15,2,Attribute,,Activity,Date Time,xbrli:dateTimeItemType,,1,Date and time of activity,gl-cor,,日時,実行日時,
16,2,Reference Association,,Activity,,,User,1,System user performing the activity,gl-cor,,システムユーザー,操作ユーザー,
17,1,Class,,Entered,,,,0..*,Data entry activity record,gl-cor,,【入力活動】,データ入力活動の記録,
18,2,Specialization,,Entered,,,Activity,1,,gl-cor,,,,
19,1,Class,,Approved,,,,0..*,Data entry approval activity record,gl-cor,,【承認活動】,データ入力承認活動の記録,
20,2,Specialization,,Approved,,,Activity,1,,gl-cor,,,,
