seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,element,LocalLabel,LocalDocumentation
1,1,Class,,Tax Line Information JPN,,,,0..*,"A tuple structure used to capture tax-related attributes specific to Japanese taxation requirements at the line entry detail level. It includes the tax type, tax category, and applicable tax rate. In accordance with Japanese consumption tax rules, the tax amount must not be included in this structure.",gl-jpn,,【明細行税情報】,日本の税制要件に基づき、明細行レベルでの税関連属性を保持するためのタプル構造。税区分、税カテゴリ、適用税率などを含む。日本の消費税制度に従い、この構造には税額を含めない。
2,2,Specialization,,Tax Line Information JPN,,,Tax Information,1,,gl-jpn,,,
3,2,Composition,,Tax Line Information JPN,,,Triangulation to Local Conversion,0,,gl-jpn,,,
4,2,Composition,,Tax Line Information JPN,,,Foreign to Triangulation Conversion,0,,gl-jpn,,,
5,2,Attribute,,Tax Line Information JPN,Amount of Taxes,xbrli:monetaryItemType,,0,,gl-jpn,,,
6,2,Attribute,,Tax Line Information JPN,Basis for Taxation,xbrli:monetaryItemType,,0,,gl-jpn,,,
7,1,Class,,Tax Information JPN,,,,0..*,"A tuple structure used to hold tax-related information for a document, in accordance with Japanese taxation requirements. It includes the tax type, tax category, and applicable tax rate. Triangulation currency is not required under Japanese tax rules, and tax amounts must be included in this structure.",gl-jpn,,【税情報】,日本の税制要件に従い、文書レベルの税関連情報を保持するためのタプル構造。税区分、税カテゴリ、適用税率を含む。日本の税制ではトライアングレーション通貨は不要とされており、この構造には税額を含める必要がある。
8,2,Specialization,,Tax Information JPN,,,Tax Information,1,,gl-jpn,,,
9,2,Composition,,Tax Information JPN,,,Triangulation to Local Conversion,0,,gl-jpn,,,
10,2,Composition,,Tax Information JPN,,,Foreign to Triangulation Conversion,0,,gl-jpn,,,
11,1,Class,,Originating Document JPN,,,,0..*,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive structure of related documents.",gl-jpn,,【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。
12,2,Specialization,,Originating Document JPN,,,Originating Document,1,,gl-jpn,,,
13,2,Attribute,,Originating Document JPN,URL,xbrli:QNameItemType,,0..1,"The location where the document is stored or can be accessed, specified as a URL.",gl-jpn,,,
14,1,Class,,Entry Header JPN,,,,0..*,Parent for entry headers/journal entry headers.,gl-jpn,,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。
15,2,Specialization,,Entry Header JPN,,,Entry Header,1,,gl-jpn,,,
